date | value
2009-01-01 | 2
2009-01-03 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2009-42-42 | 1
2009-42-42
2009-01-01 | 1
2009-01-02 |  
2009-01-03 | 1
2009-01-04 |2
2009-01-05 | 1 
2009-01-06 | 1a
2009-01-07 | 1
2012-01-08 | a1if (number == 0)
2012-01-09 | 1
2012-01-10 | 1213g4
2012-01-11 | 1
2012-01-12 | 1321,231
2012-01-13 | 1
2012-01-11 | 2147483648
2022-03-25 | 1
2022-03-22 | 1001
2022-03-25 | 1
2022-03-23 | 999
2022-03-25 | 1
2022-03-24 | 1000
2022-03-25 | 1
2024-03-26 | 2147483647
2025-03-26 | 1
2026-03-26        |                    1	
2025-03-26 | 1
22-3-2|  20


